output,input,instruction
"Fluids and electrolytes may be given through a vein (intravenously). Appropriate antibiotics are given to kill the bacteria. There are increasing rates of antibiotic resistance throughout the world, so your health care provider will check current recommendations before choosing an antibiotic. Three commonly prescribed antibiotics are ampicillin, trimethoprim-sulfamethoxazole, and ciprofloxacin. Persons given antibiotics usually begin to feel better within 2 to 3 days, and deaths rarely occur. However, persons who do not get treatment may continue to have fever for weeks or months, and as many as 20% may die from complications of the infection.","What is typhoid fever and what are its symptoms, specifically those related to high temperature?",Answer this question truthfully
"Hepatitis E is self-limited in most immunocompetent patients. For these cases the prognosis is good. Immunocompromised patients, and those with end-stage liver disease are at higher risk of developing chronic hepatitis and other complications. This last group of patients has poor prognosis. 
The mortality rate of hospitalized patients with hepatitis E is 0.5 - 4%.  
In developing countries, mortality rate during epidemics is 0.2 - 4.0%.  In these countries, mortality rate in pregnant women ranges from 10 - 25%, and is often due to fulminant hepatic failure, hemorrhage or eclampsia.",What is the typical progression and course of Hepatitis E?,Answer this question truthfully
There are no ECG findings associated with ZD.,What is the connection or relationship between Zenker's diverticulum and electrocardiogram?,Answer this question truthfully
"The majority of patients with leiomyosarcoma remain asymptomatic for decades. General symptoms associated with cancer may occur including fatigue, fever, weight loss, nausea and vomiting, vaginal bleeding, vaginal discharge, feeling of pressure in abdomen or pelvic, painless growing lump in abdomen or pelvic cavity.",What is the history of leiomyosarcoma and what are its symptoms?,Answer this question truthfully
"Liver biopsy is used to confirm the diagnosis when alcoholic hepatitis is suspected, and to help in guiding medical treatment. Microscopic findings on biopsy that indicate alcoholic hepatitis are: Polymorphonuclear infiltration of cells, hepatic necrosis, ballooning hepatocytes, Mallory bodies within cells, and perivenular and perisinusoidal fibrosis.",What diagnostic tests are required for an individual with liver disease who is struggling with alcoholism?,Answer this question truthfully
"Echocardiography facilitates the visualization of the the fluid accumulating within the pericardial cavity. Pericardial or myocardial tumors, if present, can also be noted.
The echocardiogram below demonstrates pericardial effusion and a myocardial tumor. {{#ev:youtube|sGTttwrx2xw}}",Are echocardiography or ultrasound used to detect pericarditis in cases of malignancy?,Answer this question truthfully
"Various radionuclide scans using, for example, gallium Ga 67–tagged white cells and indium in 111–tagged white cells, have proven to be of little use in diagnosing IE. Radionuclide scans of the spleen are useful to help rule out a splenic abscess, which is a cause of bacteremia that is refractory to antibiotic therapy.",What are the roles of echocardiography and ultrasound in the diagnosis of Endocarditis?,Answer this question truthfully
"Secondary prevention occurs once the disease has occurred and aims to prevent progression and complication development. Protective measures include controlling the tidal volume, plateau pressure, PEEP, and FiO2. Measures taken to reduce the risk of aspiration such as elevation of the head end of bed and maintaining oral hygiene also help preventing aspiration pneumonia. Common complications that can develop due to bacterial pneumonia include acute respiratory distress, pleural effusion, heart failure due to pneumonia, sepsis, and septic shock.",What is secondary prevention for bacterial pneumonia?,Answer this question truthfully
"Till now the genetic basis for this condition is largely unknown or very little is known about this.   Mutations in MYH7, which a sarcomere gene encoding the cardiac beta -myosin heavy chain have been linked in the occurence of familial Ebstein anomaly. It is formulated that embryonic cell migration may be impaired by these MYH7 mutations. Cardiac transcription factors NK2 homeobox 5 (NKX2-5) and GATA binding protein 4 (GATA4) mutations have also been described in some cases.",What is the physiological basis or mechanism behind Ebstein's anomaly affecting the tricuspid valve?,Answer this question truthfully
Ensure that there is no pressure gradient between the pressure wire (placed at the tip of the guide) and the guiding catheter. The pressures should be equalized at the onset. The two pressures should be compared and noted before inducing coronary hyperemia. Use a standard wire first to cross difficult lesions. The pressure wire may not be the most suitable in complex lesions. Pressure wire may track under a plaque and cause a dissection. Repeated attempts in trying to negotiate tortuous anatomy may cause trauma to intact endothelium and promote thrombosis and dissection.,Could you please explain what fractional flow reserve means?,Answer this question truthfully
"According to the American Joint Committee on Cancer, there are 4 stages of stomach cancer based on the tumor spread. Staging can be done via EUS, CT, MRI or laparoscopy, which has the advantage of directly visualizing liver, peritoneum and local lymph nodes.",Could you provide me with the text that needs to be rephrased?,Answer this question truthfully
"Protein C's anticoagulant role in the human body was first noted by Seegers et al. in 1960,  who gave protein C its original name, autoprothrombin II-a. : 6822 Protein C was first isolated by Johan Stenflo from bovine plasma in 1976, and Stenflo determined it to be a vitamin K-dependent protein.  He named it protein C because it was the third protein (""peak C"") that eluted from a DEAE-Sepharose ion-exchange chromotograph. Seegers was, at the time, searching for vitamin K-dependent coagulation factors undetected by clotting assays, which measure global clotting function. Soon after this, Seegers recognised Stenflo's discovery was identical with his own. : 6822 Activated protein C was discovered later that year,  and in 1977 it was first recognised that APC inactivates Factor V a. : 2382  In 1980, Vehar and Davie discovered that APC also inactivates Factor VIII a,  and soon after, Protein S was recognised as a cofactor by Walker.  In 1982, a family study by Griffin et al. first associated protein C deficiency with symptoms of venous thrombosis.  Homozygous protein C deficiency and the consequent serious health effects were described in 1984 by several scientists. : 1214 cDNA cloning of protein C was first performed in 1984 by Beckmann et al. which produced a map of the gene responsible for producing protein C in the liver.  In 1987 a seminal experiment was performed (Taylor et al.) whereby it was demonstrated that activated protein C prevented coagulopathy and death in baboons infused with lethal concentrations of E. coli. : 2382 
In 1993, a heritable resistance to APC was detected by Dahlbäck et al. and associated with familial thrombophilia.  In 1994, the relatively common genetic mutation that produces Factor V Leiden was noted (Bertina et al.).  Two years later, Gla-domainless APC was imaged at a resolution of 2.8 Ångströms. α›  Beginning with the PROWESS clinical trial of 2001,  it was recognised that many of the symptoms of sepsis may be ameliorated by infusion of APC, and mortality rates of septic patients may be significantly decreased. : 3161,6 Near the end of that year, Drotrecogin alfa (activated), a recombinant human activated protein C, became the first drug approved by the U.S. FDA for treating severe sepsis.  In 2002, Science published an article that first showed protein C activates protease-activated receptor-1 (PAR-1) and this process accounts for the protein's modulation of the immune system. : 2382",What is the role or importance of protein C?,Answer this question truthfully
"Interventional techniques are used to stop bleeding which include:      Bronchial arterial embolization which is:        Considered as a first line therapy for both new and recurrent hemoptysis Less invasive and reliable procedure Operator-dependent technique Excellent outcome with immediate control of bleeding reaching 80-94%
{{#ev:youtube|kLO6UXaVb9w}} {{#ev:youtube|zJ85gIjGOzY}}
Other bronchoscopic strategies that are used to stop bleeding in a patient with hemoptysis include: Cold saline lavage Topical vasoconstrictor agents Balloon tamponade Endobronchial stent placement Endobronchial spigot Oxidized regenerated cellulose N-Butyl cyanoacrylate glue Fibrinogen thrombin Tranexamic acid Laser photocoagulation Argon plasma coagulation Electrocautery",Can surgery be considered as a treatment option for Hemoptysis?,Answer this question truthfully
"There are no serious complications, although discomfort is common",What information is available for individuals with allergies regarding conjunctivitis?,Answer this question truthfully
"Compliance with avoidance is important. The key to avoidance is proper evaluation and detection of causative allergen. Wear appropriate clothing to protect against irritants at home and in a work environment.  

Surgery is the mainstay of therapy for adenomyosis . Hysterectomy with preservation of the ovaries is the most common approach to the treatment of adenomyosis, and it is done via abdominal, transvaginal, laparoscopic approach, or robotic surgery. . Unlike Leiomyoma, there is no plane of cleavage to excise adenomyomas and preserve the uterus. Uterus sparing resection is an investigational approach especially for young women seeking future pregnancy .
Medical treatment for dysmenorrhea and menorrhagia can be prescribed as a temporary alternative for young women in the child-bearing period. Hormonal therapy to control the symptoms includes levonorgestrel -releasing IUD (most preferred method), combined oral contraceptive pills, GnRH analogs, and oral GnRH antagonists . Levonorgestrel - IUD has a direct action on the uterus. It alleviates dysmenorrhea and menorrhagia . Once the hormonal therapy is stopped to conceive, symptoms recur within six months.
In women who decline hysterectomy or have contraindications for hysterectomy or women who failed hormonal therapy, uterine artery embolization can be an alternative to control dysmenorrhea and heavy menstrual bleeding. . The outcomes of the procedure are significantly correlated with the lesion vascularity. .",Could you please provide me with the context in which you want me to rephrase this? Who is the intended audience?,Answer this question truthfully
"Complications of neoplastic meningitis include: 
Hydrocephalus Encephalopathy Subdural empyema​ Epidural empyema Cerebritis Cerebral abscess Stroke Ventriculitis Dural sinus thrombosis","What is the natural progression, complications, and prognosis of neoplastic meningitis?",Answer this question truthfully
"Keep all appointments with your doctor and the laboratory. Your doctor may order certain laboratory tests to check your body's response to carvedilol.
Do not let anyone else take your medication. Ask your pharmacist any questions you have about refilling your prescription.",What information is accessible regarding Carvedilol?,Answer this question truthfully
"Treatments for most rickettsial illnesses are similar and include administration of appropriate antibiotics (e.g., tetracyclines, chloramphenicol, azithromycin, fluoroquinolones, and rifampin) and supportive care. Treatment should usually be given empirically prior to disease confirmation, and the particular antimicrobial agent and the length of treatment are dependent upon the disease and the host. 
Surgical intervention is not recommended for the management of typhus.
No licensed vaccines for prevention of rickettsial infections are commercially available in the United States. With the exception of the louse-borne diseases, for which contact with infectious arthropod feces is the primary mode of transmission (through autoinoculation into a wound, conjunctiva, or inhalation), travelers and health-care providers are generally not at risk for becoming infected via exposure to an ill person. Limiting exposures to vectors or animal reservoirs remains the best means for reducing the risk for disease. Travelers should be advised that prevention is based on avoidance of vector-infested habitats, use of repellents and protective clothing, prompt detection and removal of arthropods from clothing and skin, and attention to hygiene.",Can you provide an overview of typhus?,Answer this question truthfully
"In some rare cases, lymphangiography and lymphscintigraphy can be used to study the anatomical abnoramalities of the lymphantic system.",What other diagnostic tests are conducted for lymphangitis?,Answer this question truthfully
"HPV-related Penile Carcinoma
Basaloid SCC Occurs most frequently the glans or the foreskin   Flat ulcerated masses, which are deeply invasive and sometimes necrotic Metastasis is seen in about 50% of cases; lymph nodes most common Closely packed small basophilic cells; mitosis is frequent with central keratinization “Starry sky” like features; displays close features to neuroendocrine tumors p16 positive Hyalinization of the stroma is frequent Local recurrence is high; mortality is high, depends on the extension at time of treatment
Papillary basaloid carcinoma Rare and affect the glans Hyperparakeratosis and kondylomatous features are frequent  p16 positive Resemble urothelial carcinomas
Warty carcinoma Look like condylomas Account for 5–10% of the penile carcinomas Macronodular cauliflower-like appearance Papillae have a dark fibrovascular core that the tumor surrounds with a whitish aspect Pleomorphic koilocytes, hyper and parakeratosis, nuclear pleomorphism, and cellular clarification Individual cell necrosis Carcinomas invading corpus cavernosum and dartos, usually do not display intravascular or perineural invasion Nodal metastasis is seen in <20% The mortality rate is low
Warty–basaloid carcinoma Shows both warty and basaloid features Present as voluminous masses growing from the glans and foreskin Histologically, these tumors are mixed with a papillomatous warty-like surface and a solid basaloid invasive component p16 is strongly expressed Invasion into deeper structures is frequent, vascular and perineural invasions are frequent More aggressive than their warty counterpart Around 50% will develop lymph node metastasis; 30% will die of disease
Clear-cell carcinoma Aggressive Occurs as a large mass of the glans and foreskin Tumor develops in sheets Necrosis is frequent Staining of the clear cells is positive for p16 Vascular and perineural invasion is frequent Tumor -related mortality is around 20%
Lymphoepithelioma-like carcinoma Poorly differentiated Tumor growth starts most of the time at the glans and extends to the foreskin More or less circumscribed; sheets with lymphocytic or plasmacytic cells mixed with tumor cells are common p63 and p16 positive Prognosis is adverse; only few cases have been described
Non-HPV related Penile Carcinoma
SCC usual type/not otherwise specified Exophytic gross appearance Endophytic ulcerated cases A tendency to invade deeply into the penile tissue deeply Two-thirds of patients present inguinal metastasis, and the mortality is about 30% The number of positive lymph nodes is an important prognosticator
Pseudohyperplastic carcinoma Tumor is an extremely differentiated SCC Mostly associated with lichen sclerosis, and occurs on the foreskin of older patients An association with other histological types is frequent Gross aspects are flat or slightly elevated; multifocality is common Sharp borders, cells are very well differentiated, and peritumoral stroma is absent or minimal No vascular or perineural invasion or metastasis
Pseudoglandular carcinoma This variant is aggressive with acantholysis and pseudoglandular spaces Patients are younger, around 50 yr of age Distal, irregular, firm, whitish, ulcerated mass Histologically, honeycomb aspects present Filled with necrotic debris. Poorly differentiated and high-grade tumors Lymph node metastases occur in more than two-thirds and the mortality rate is high
Verrucous carcinoma Accounts for 2-3% of all penile carcinomas Extremely well differentiated with papillomatous aspects; Tumor base is broad and the tumor has borders pushing into the stroma Has a slow evolution and is seen in older patients Frequently associated with lichen sclerosus Grossly, the aspect is exophytic, papillomatous is white to gray, and the interface between tumor and stroma is sharply delineated Shows hyperkeratosis, acanthosis, and papillomatous aspects Tumor does not directly invade the lamina propria, but pushes the borders into deeper tissue, known as invasion Prognosis is good Slowly growing tumor recur in a third of cases, mostly because of underestimation in histology as a benign neoplasm or because of insufficient surgery
Carcinoma cuniculatum A variant of the verrucous carcinoma and a low-grade carcinoma Men between the age of 70 and 80 yr Most frequently the lesions grow from the glans into the deeper layers to the erectile corpora Tumor is whitish and grey, and deep invaginations are common Histologically well differentiated; no koilocytes are seen No vascular or perineural invasion The invasion is with broad pushing borders; no metastasis can be found
Papillary carcinoma NOS carcinoma is papillomatous and verruciform No koilocytes Tumor accounts for about 5–8% of penile carcinomas and is usually associated with lichen sclerosus Tumor has a cauliflower-like, whitish aspect that is badly limited Histologically, we see well- differentiated hyperkeratotic lesions Tumors can recur, but mortality and metastasis are rare
Adenosquamous carcinoma SCCs with mucinous features Also called mucoepidermoid carcinomas Recurrence and lymph node metastasis is seen in up to 50%, but mortality remains low Rare
Sarcomatoid SCC The most aggressive neoplasm of penis Focal squamous differentiation is seen Spindle cell component should be present in at least 30% Masses are slowly growing and frequently ulcerated Recurrence and regional or systemic metastases are possible Necrosis and hemorrhage are frequent. Atypia, mitosis, pleomorphism, and sarcomatoid aspects In 80%, local recurrence exists with inguina l metastases Mortality is high (up to 75%), and most patients die within a year
Mixed SCC Contain at least two variants of SCCs Patients are older, mostly in their 7th decade Located on the glans Present as a white, exophytic, grayish mass replacing the distal penis, invading deeply the erectile tissue Most frequent is the combination of warty and basaloid carcinomas Possible to have HPV - and non– HPV -related features in the same tumors Mortality is rare (<5%) Less aggressive",What is the underlying physiological mechanism of penile carcinoma?,Answer this question truthfully
"Mate selection Preimplantation genetic diagnosis. By retrieving the mother's eggs for in vitro fertilization and conceiving a child outside the womb, it is possible to test the embryo prior to implantation. Prenatal diagnosis and selective abortion.",What is Tay-Sachs disease and what information is currently available regarding it?,Answer this question truthfully
"UNAIDS and the World Health Organization estimate the global incidence of chancroid to be approximately 6 million cases per year.  A true incidence is difficult to determine due to lack of readily available diagnostic testing. H. ducreyi is difficult to culture so chancroid may be under-diagnosed.  Since 1987, reported cases of chancroid declined steadily until 2001. Since then, the number of cases reported has fluctuated, but still appearing to decline overall. 
Chancroid may develop in individuals of any age but is typically found in sexually active individuals with a mean patient age of 30 years.
The male-to-female ratio of patients with chancroid ranges from 3:1 in endemic areas to 25:1 during outbreak situations.  Female sex workers with either symptomatic chancroid or as asymptomatic carriers serve as a reservoir for H. ducreyi. 
Although race is not a risk factor, chancroid is seen more commonly in African Americans and Hispanics in the United States. 
Chancroid is uncommon in the United States and other developed countries, but can been present in endemic areas associated with the use of crack cocaine and prostitution. In the United States, the Centers for Disease Control and Prevention reported 6 cases of chancroid in 2014.  The majority of cases in developed countries occur in individuals who have returned from chancroid-endemic areas in the world.
Chancroid is a major cause of genital ulcer disease in Africa, southeast Asia and parts of Latin America.  Acquiring epidemiological data is more difficult in developing countries due to greater lack of resources to test for H. ducreyi. Chancroid is common in countries that have high rates of Human Immunodeficiency Virus (HIV) infection, because HIV facilitates acquisition of H. ducreyi and vice versa.",Can you provide information on the epidemiology and demographics of chancroid?,Answer this question truthfully
"The health care provider will determine whether the child has this disorder, or a similar condition such as childhood schizophrenia or pervasive developmental disorder (autism).
The most important sign of childhood disintegrative disorder is the loss of developmental milestones. Generally, the diagnosis is made if the child has lost function in at least two areas of development.","""What is childhood disintegrative disorder, and what information is associated with it?""",Answer this question truthfully
"A bad vagal reaction in a freshly implanted stent or in a patient awaiting PCI who has a significant LM lesion can be very hazardous (risk of thrombosis, or a downward spiral of poor perfusion leading to subendocardial ischemia leading to poorer LV function, leading to poorer forward output). Some operators will preemptively administer an ampule of atropine prior to the sheath pull or will have a low threshold to administer a full ampule of atropine.",What is the main coronary artery on the left?,Answer this question truthfully
"Presence of structural heart disease, especially LV systolic dysfunction. Class IC agents. Increased age. Females.",What is the explanation for the increased risk of Proarrhythmia?,Answer this question truthfully
"The prognosis of leiomyosarcoma is poor and it depends upon different factors including site of tumor, size, and type, as well as the extent of tumor spread. Some patients with low grade tumors or with tumors that have not spread beyond stage I have better prognosis. In general, high-grade tumors that have spread widely throughout the body have less favorable survival rate s. Some of these progostic factors that affect survival rate s of patients with leiomyosarcoma include: 

FIGO stage at the time of the initial diagnosis (survival after initial diagnosis has been reported to be 50% in stage 1 and stage 2 disease) Age at the time of diagnosis Mitotic count Tumor size (tumors greater than 5cm has worse prognosis) Adjuvant therapies such as chemotherapy and radiation",What is the natural progression or course of leiomyosarcoma?,Answer this question truthfully
"Prognosis is usually poor without treatment. However, spontaneous remission is common. Complete cure can be obtained with proper antibiotic treatment (more favorable with early treatment). Death can occur from bowel obstruction or perforation.","What are the natural history, possible complications, and projected outcome of lymphogranuloma venereum?",Answer this question truthfully
"Primary preventive measures for diphyllobothriasuis include:
Avoid eating raw or undercooked fish Proper cooking and storing or fish meat
FDA recommendations:
The FDA recommends the following for fish preparation or storage to kill parasites. 
Cooking Cook fish adequately (to an internal temperature of at least 145° F ~63° C). Freezing At -4°F (-20°C) or below for 7 days (total time). OR At -31°F (-35°C) or below until solid, and storing at -31°F (-35°C) or below for 15 hours. OR At -31°F (-35°C) or below until solid and storing at -4°F (-20°C) or below for 24 hours.",What is the main method of preventing Diphyllobothriasis?,Answer this question truthfully
"Before taking propafenone:
tell your doctor and pharmacist if you are allergic to propafenone or any other drugs. tell your doctor and pharmacist what prescription and nonprescription medications you are taking, especially anticoagulants ('blood thinners') such as warfarin (Coumadin), beta blockers such as atenolol (Tenormin), carteolol (Cartrol), labetalol (Normodyne, Trandate), metoprolol (Lopressor), nadolol (Corgard), propranolol (Inderal), sotalol (Betapace), and timolol (Blocadren); cimetidine (Tagamet); cyclosporine (Neoral, Sandimmune); digoxin (Lanoxin); quinidine (Quinaglute); rifampin (Rifadin); and vitamins. in addition to the condition listed in the IMPORTANT WARNING section, tell your doctor if you have or have ever had liver or kidney disease, congestive heart failure, a pacemaker, chronic bronchitis, asthma, or emphysema. tell your doctor if you are pregnant, plan to become pregnant, or are breast-feeding. If you become pregnant while taking propafenone, call your doctor. if you are having surgery, including dental surgery, tell the doctor or dentist that you are taking propafenone. you should know that this drug may make you drowsy or dizzy. Do not drive a car or operate machinery until you know how it affects you.",What information can be provided regarding Propafenone?,Answer this question truthfully
"The adrenal cortex is composed of three distinct layers of endocrine cells which produce critical steroid hormones. These include the glucocorticoids which are critical for regulation of blood sugar and the immune system, as well as response to physiological stress, the mineralcorticoid aldosterone, which regulates blood pressure and kidney function, and certain sex hormones. Both benign and malignant tumors of the adrenal cortex may produce steroid hormones, with important clinical consequences.
Adrenocortical adenomas, or adrenocortical ""nodules"", are small, benign tumors of the adrenal cortex which are extremely common (present in 1-10% of persons at autopsy). The clinical significance of these neoplasms is twofold. First, they have been detected as incidental findings with increasing frequency in recent years, due to the increasing use of CT scans and magnetic resonance imaging in a variety of medical settings. This can result in expensive additional testing and invasive procedures to rule out the slight possibility of an early adrenocortical carcinoma. Second, a minority of adrenocortical adenomas are ""functional"", meaning that they produce glucocorticoids, mineralcorticoids, and/or sex steroids, resulting in endocrine disorders such as Cushing's syndrome, Conn's syndrome (hyperaldosteronism), virilization of females, or feminization of males. Functional adrenocortical adenomas are surgically curable.
Main article: Adrenocortical carcinoma
Adrenocortical carcinoma (ACC) is a rare, highly aggressive cancer of adrenal cortical cells, which may occur in children or adults. ACC's may be ""functional"", producing steroid hormones and consequent endocrine dysfunction similar to that seen in many adrenocortical adenomas, but many are not. Due to their location deep in the retroperitoneum, most adrenocortical carcinomas are not diagnosed until they have grown quite large. They frequently invade large vessels, such as the renal vein and inferior vena cava, as well as metastasizing via the lymphatics and through the blood to the lungs and other organs. The most effective treatment is surgery, although this is not feasible for many patients, and the overall prognosis of the disease is poor. Chemotherapy, radiation therapy, and hormonal therapy may also be employed in the treatment of this disease.
The adrenal medulla is located anatomically at the center of each adrenal gland, and is composed of neuroendocrine (chromaffin) cells which produce and release epinephrine (adrenaline) into the bloodstream in response to activation of the sympathetic nervous system. Neuroblastoma and pheochromocytoma are the two most important tumors which arise from the adrenal medulla. Both tumors may also arise from extra-adrenal sites, specifically, in the paraganglia of the sympathetic chain.
Main article: Neuroblastoma
Neuroblastoma is an aggressive cancer of immature neuroblastic cells (precursors of neurons), and is one of the most common pediatric cancers, with a median age at diagnosis of two years. Adrenal neuroblastoma typically presents with a rapidly enlarging abdominal mass. Although the tumor has often spread to distant parts of the body at the time of diagnosis, this cancer is unusual in that many cases are highly curable when the spread is limited to the liver, skin, and/or bone marrow (stage IVS). Related, but less aggressive tumors composed of more mature neural cells include ganglioneuroblastoma and ganglioneuroma. Neuroblastic tumors often produce elevated levels of catecholamine hormone precursors, such as vanillylmandelic acid (VMA) and homovanillic acid, and may produce severe watery diarrhea through production of vasoactive intestinal peptide. Treatment of neuroblastoma includes surgery and radiation therapy for localized disease, and chemotherapy for metastatic disease.
Main article: Pheochromocytoma
Pheochromocytoma is a neoplasm composed of cells similar to the chromaffin cells of the mature adrenal medulla. Pheochromocytomas occur in patients of all ages, and may be sporadic, or associated with a hereditary cancer syndrome, such as multiple endocrine neoplasia (MEN) types IIA and IIB, neurofibromatosis type I, or von Hippel-Lindau syndrome. Only 10% of adrenal pheochromocytomas are malignant, while the rest are benign tumors. The most clinically important feature of pheochromocytomas is their tendency to produce large amounts of the catecholamine hormones epinephrine (adrenaline) and norepinephrine. This may lead to potentially life-threatening high blood pressure, or cardiac arrythmias, and numerous symptoms such as headache, palpitations, anxiety attacks, sweating, weight loss, and tremor. Diagnosis is most easily confirmed through urinary measurement of catecholamine metabolites such as VMA and metanephrines. Most pheochromocytomas are initially treated with anti-adrenergic drugs to protect against catecholamine overload, with surgery employed to remove the tumor once the patient is medically stable.",What is the classification system used for adrenal tumors?,Answer this question truthfully
"The cause of focal segmental glomerulosclerosis is usually unknown.
Known causes include:
Heroin use HIV Inherited genetic problems Obesity Reflux nephropathy (a condition in which urine flows backward from the bladder to the kidney) Sickle cell disease",What causes glomerulosclerosis?,Answer this question truthfully
"Bone scan may demonstrate bone metastases.
FDG (18 F fluoro-deoxyglucose) PET scans along with contrast enhanced CT may be helpful in the evaluation of the extent of lung cancer. Findings on FDG-PET / CT suggestive of lung cancer include:   Solitary pulmonary nodule
Molecular tests include epidermal growth factor receptor (EGFR) mutation and anaplastic lymphoma kinase (ALK) mutation. Specific targeted agents may be administered to patients if these mutations are present.",What are the additional diagnostic tests for lung cancer?,Answer this question truthfully
